M [M_sun]	stat_err M	sys_err M	R [km]	stat_err R	sys_err R	stability
2.152421e+02	8.611485e+00	1.700000e-03	1.164624e+04	4.520522e+02	2.900000e-01	0
2.131038e+02	8.529243e+00	1.700000e-03	1.125141e+04	4.372960e+02	2.900000e-01	0
2.109110e+02	8.444604e+00	1.800000e-03	1.086955e+04	4.229841e+02	2.900000e-01	0
2.086647e+02	8.357603e+00	1.800000e-03	1.050044e+04	4.091106e+02	2.900000e-01	0
2.063659e+02	8.268328e+00	1.800000e-03	1.014371e+04	3.956640e+02	2.900000e-01	0
2.040159e+02	8.176829e+00	1.800000e-03	9.799016e+03	3.826332e+02	2.900000e-01	0
2.016158e+02	8.083184e+00	1.900000e-03	9.466128e+03	3.700149e+02	2.170000e-01	0
1.991670e+02	7.987453e+00	1.900000e-03	9.144686e+03	3.577978e+02	2.170000e-01	0
1.966708e+02	7.889711e+00	2.000000e-03	8.834400e+03	3.459718e+02	2.180000e-01	0
1.941289e+02	7.790027e+00	2.000000e-03	8.534982e+03	3.345319e+02	2.900000e-01	0
1.915427e+02	7.688480e+00	2.000000e-03	8.246213e+03	3.234685e+02	2.180000e-01	0
1.889139e+02	7.585149e+00	2.100000e-03	7.967732e+03	3.127743e+02	2.170000e-01	0
1.862443e+02	7.480114e+00	2.100000e-03	7.699248e+03	3.024391e+02	2.170000e-01	0
1.835357e+02	7.373458e+00	2.200000e-03	7.440616e+03	2.924585e+02	2.170000e-01	0
1.807902e+02	7.265266e+00	2.200000e-03	7.191475e+03	2.828161e+02	2.170000e-01	0
1.780097e+02	7.155633e+00	2.200000e-03	6.951607e+03	2.735102e+02	2.170000e-01	0
1.751965e+02	7.044656e+00	2.300000e-03	6.720795e+03	2.645364e+02	1.450000e-01	0
1.723529e+02	6.932419e+00	2.200000e-03	6.498749e+03	2.558806e+02	1.440000e-01	0
1.694811e+02	6.819023e+00	2.300000e-03	6.285251e+03	2.475434e+02	1.450000e-01	0
1.665836e+02	6.704586e+00	2.300000e-03	6.080084e+03	2.395105e+02	1.450000e-01	0
1.636631e+02	6.589182e+00	2.300000e-03	5.883104e+03	2.317740e+02	1.450000e-01	0
1.607221e+02	6.472932e+00	2.300000e-03	5.694021e+03	2.243334e+02	1.450000e-01	0
1.577633e+02	6.355946e+00	2.300000e-03	5.512617e+03	2.171766e+02	1.450000e-01	0
1.547896e+02	6.238337e+00	2.300000e-03	5.338819e+03	2.103062e+02	1.450000e-01	0
1.518039e+02	6.120212e+00	2.300000e-03	5.172339e+03	2.037085e+02	1.450000e-01	0
1.488090e+02	6.001692e+00	2.400000e-03	5.013031e+03	1.973801e+02	1.440000e-01	0
1.458081e+02	5.882884e+00	2.300000e-03	4.860750e+03	1.913137e+02	1.440000e-01	0
1.428042e+02	5.763916e+00	2.300000e-03	4.715351e+03	1.855045e+02	7.300000e-02	0
